trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.3, 'e': 0.37531109885139957}",20,5,0.15370588645183236,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.37157669102204571}",20,11,8.44840219752122,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.36787944117144233}",35,4,-19.58034965709008,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.3, 'e': 0.36421897957152333}",25,2,-65.34295992989365,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
102,False,"{'a': 0.3, 'e': 0.3605949401730783}",30,0,-34.59269997415167,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.3, 'e': 0.35700696056914738}",25,13,6.205264047462669,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.35345468195878016}",35,17,6.554756579507858,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.34993774911115533}",20,9,-13.371281624986066,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.3464558103300574}",25,0,8.960486078675338,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
107,False,"{'a': 0.3, 'e': 0.34300851741870664}",20,5,6.666156702749943,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.33959552564493911}",25,13,8.183885262465278,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.33621649370673329}",20,6,-56.57813669709437,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.3, 'e': 0.33287108369807955}",25,15,5.236520421885164,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.32955896107518906}",35,7,-73.5233303765596,"{0: 22, 1: 0, 2: 3, 3: 2, 4: 1}",1
112,False,"{'a': 0.3, 'e': 0.32627979462303947}",25,17,0.5617649089150274,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.32303325642225289}",20,6,5.768094927326935,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.31981902181630384}",30,21,-1.9519826302938077,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.31663676937905316}",25,17,12.788666108582904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.31348618088260533}",20,10,15.37196296492751,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.31036694126548503}",20,0,-13.78462335040072,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.3, 'e': 0.30727873860113125}",30,0,25.046127113418816,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.30422126406670408}",30,19,20.783805935273435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.30119421191220214}",35,24,6.4618104359897925,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.29819727942988739}",20,12,15.475020040831707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.29523016692401421}",25,15,-28.878085186098808,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.29229257768085942}",30,10,9.299241312349979,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.28938421793905061}",30,21,18.173886263183903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.28650479686019009}",30,16,-42.96120477951275,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,11,1.914821445021169,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.28083162177837978}",20,15,7.85124011690685,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.27803730045319414}",20,8,1.0406645861837724,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.27527078308975234}",35,9,-11.48171739027337,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.3, 'e': 0.27253179303401259}",20,14,0.8133341338034392,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.26982005638468681}",25,3,29.88189932248641,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.26713530196585034}",20,15,3.6392433604084626,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.26447726129982396}",35,14,-58.612981660280845,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
134,False,"{'a': 0.3, 'e': 0.26184566858032599}",25,14,6.437725956313725,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.25924026064589151}",25,11,0.6182026528530173,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.25666077695355588}",20,0,11.102302385409262,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.3, 'e': 0.25410695955280027}",25,16,20.378606798386798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.25157855305975646}",20,10,-2.9355601269519584,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.24907530463166816}",20,8,-7.128779511815425,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.24659696394160643}",30,3,5.596708138588332,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.24414328315343711}",20,0,-49.784851415162876,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.3, 'e': 0.24171401689703645}",30,14,29.38231581790743,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.23930892224375455}",30,9,5.901303099364402,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.23692775868212176}",20,11,15.134668219710967,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.23457028809379765}",25,17,3.593373810700779,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.23223627472975883}",20,12,-2.940607508183331,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.22992548518672384}",20,0,-5.529335687672544,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
148,False,"{'a': 0.3, 'e': 0.22763768838381274}",20,7,-19.824486986468603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.3, 'e': 0.22537265553943872}",30,0,21.98155544283958,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.3, 'e': 0.22313016014842982}",25,5,-59.02719985548958,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
151,False,"{'a': 0.3, 'e': 0.2209099779593782}",30,7,-74.5279235059449,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 2}",1
152,False,"{'a': 0.3, 'e': 0.21871188695221475}",20,5,17.072773289261786,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.21653566731600707}",20,12,-37.22064439469957,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.3, 'e': 0.21438110142697794}",30,0,43.30205099510565,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.21224797382674304}",20,13,12.972730606347355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.21013607120076472}",25,9,26.87336422076022,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.20804518235702046}",25,0,2.622143712220349,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.3, 'e': 0.20597509820488344}",20,5,-39.49061947533417,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.3, 'e': 0.20392561173421342}",25,17,18.807176829033356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.20189651799465538}",20,11,3.962733085724515,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.19988761407514449}",20,13,2.5735189962729073,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.19789869908361465}",25,16,-7.659318800193145,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.19592957412690934}",25,10,9.280357996945856,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.19398004229089189}",35,0,17.797591393419953,"{0: 32, 1: 2, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.3, 'e': 0.19204990862075408}",20,7,15.73257779868692,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.1901389801015205}",20,10,20.05733835201563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.1882470656387468}",20,0,23.007912608148285,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
